첵제목,작가명,내용요약
건축자산의 목록구축 및 활용을 위한 제도 연구,,"세계유산이란 보편적 가치를 인정받아 유네스코 세계유산목록에 등재된 유산을 말하는데 이는 문화유산, 자연유산, 복합유산으로 구분된다. 이 중 '문화유산'은 역사적 가치 등을 지닌 기념물, 건조물군, 유적지에 속한다."
비행 학업중단 청소년 패널조사 및 지원방안 연구Ⅲ,전영실,"외국의 연구로는 청소년의 방임과 비행, 재범 위험의 관계에 대해 연구했다. 연구 결과를 보면, 지속적인 방임사례가 된 청소년이 아닌 청소년에 비해 재범 확률이 높다고 나타났다. 따라서 심각한 방임을 예방하는 것이 재비행 예방에 중요하다."
청소년의 건강한 삶과 성장지원,이유진,「청소년복지 지원법」제정으로 가출청소년 사회적 보호지원정책이 추진된 지 10년 째인 현재 그동안 쉼터 운영의 다각화와 개수의 지속적 증가로 총 109개 쉼터가 운영 중이나 최대 정원은 9백 여 명에 불과하다.
"통일의 외교안보 편익 분석 및 대주변국 통일외교 전략(대외경제정책연구원, 2014)",,동북아가 혼란한 상황에서 한반도 통일은 동북아 다자안보체제의 기회라는 큰 이득을 준다. 이는 안보협력과 군비통제 논의를 가능하게 하고 지금 당장은 낮은 수준의 안보협력을 쉽게 개시할 수 있다.
남북한 영화 교류방안 연구,이명자,실현 가능한 남북 교류 중 하나는 영화를 함께 상영하는 방법이 있다. 남한 내 국가보안법과 북한의 정치체제로 인하여 어떤 영화를 선택해야할지 난해한 면이 있었지만 더 어려운 점은 검열을 주장하는 통일부의 의견으로 남북의 영화제를 원활히 추진하기 위해서는 먼저 내부의 정부기관들의 납득을 위한 작업이 필요할 것이다. 
미래 기술·사회·경제 구조변화와 에너지 수요관리 전략 연구,"이성인, 김창훈","4차 산업혁명 시대에 제조업이 생존하기 위해서는 다양한 종류의 신제품을 단기간에 생산하는 것이 필요한데, 고전적인 방법으로는 시간이 많이 지체된다. 그러나 독일의 Siemens사는 이를 가상 시뮬레이션을 이용해 해결했다."
2010 저작권 백서,,지상파 방송사업자는 비용상의 이점으로 권리 주장을 하지 않다가 디지털 방송 실시를 앞두자 케이블 방송사업자를 상대로 저작권법상 침해라며 가처분 및 본안소송을 제기했다.
제2기 인터넷 상생발전협의회 결과보고서,방송통신위원회,EU 의 GDPR는 데이터를 수집할 때 정보주체의 동의를 받아야 할 의무가 없다. 일본 개인정보보호법 또한 한국과 같이 까다로운 사전 동의 원칙을 채택하지 않는다.
바이오경제시대 과학기술정책의제 연구사업(6차년도) : 바이오헬스 혁신시스템 진단 및 정부의 역할,,"부처 이기주의를 지적한 경우 근거로 단기 과시성 정책이 남발되는 점과, 수요자가 아닌 공급자의 입장에서 정책을 낸다는 점을 들었다. 따라서 정부 차원에서 투자 효율성을 높여야 한다."
지진포커스. 통권4호,,"Ethernet을 활용할 신규사업자는 Ethernet의 비용효율성과 운영의 편리성으로 시장대응이 쉽지만, 기존사업자는 고정자산 때문에 운신의 폭이 좁을 수 있다. 기존 정보통신설비가 인터넷 인프라의 주요요건을 충족하는데 한계가 있다면 새로운 환경에 적응하기 어려울 것이다. 신규사업자는 기존사업자의 주요 수익원천에서 cream-skimming 할 것이며 시장경쟁 자체도 경쟁 가능하게 전환될 것이다."
북한 제재관련 미국 CRS 보고서,한국법제연구원,"평화조약 체결은 많은 과제를 제시한다. 북한은 미국이 적대 정책 철회하기 전까지는 핵무기 포기를 비동의할 것으로, 이는 이론적으로는 협상 가능하지만 미국은 북한의 타 요구를 승인할 생각이 없다."
임금체계 개편을 위한 가이드북,고용노동부,숙련도만으로 임금을 결정하는 순수 직능급 사례는 많지 않으며 직능급을 도입하더라도 직무급 등 다른 임금체계와 혼합되어 적용되고 임금체계 개편을 지속하고 있다.
학교 밖 청소년을 위한 지속가능발전교육 프로그램 개발,황세영,학교 밖 청소년들을 위해 교육프로그램에서 지속가능성 주제를 도입하고 전문가 의견을 조사하여 프로그램을 개발했다. 시범 적용한 결과 및 만족도 조사 결과를 반영한 최종 프로그램을 만들고 도움자료 및 교구를 개발했다.
각국의 육아휴직제도 비교와 우리나라 제도의 개선방향,장성자,독일 육아휴직의 근거법은 구서독의 ‘육아수당 및 육아휴직의 부여에 관한 법률’이다. 이 법은 모친의 근로유무와 관계없고 부친도 수급 가능하다. 또한 이 법은 육아수당이 중심이다.
중국-대만 양안관계 분석을 통한 남북경협 활성화 추진방안 연구,,위탁가공 교역 사업의 사실상 중단에 관련 기업들이 타격을 받았다. 그들이 북한과 교역 재개 토대를 마련해야 신사업 대북 접촉 및 설비 및 자재의 반출이 가능할 것이다.
지자체 교통운영 평가방안 및 제도 연구 법정계획 시행을 중심으로,,"지자체 교통운영 평가는 기존 선행연구 등을 검토하여 항목과 지표를 도출하고, 델파이 기법을 활용해 전문가의 의견을 수렴한다. AHP 기법을 활용해 중요도, 우선순위를 검증한 후 최종안을 확정한다."
한국의 고용창출 구조 연구,,"고용의 순창출은 1985년 이후 7년동안 우수한 실정을 보이다가, 1997년 발생한 외한위기로 급락하게 되었다."
중학교 학생의 학업 유형과 실태 분석,,"한국에서 학생들의 공부방식과 생활방식에 관한 위기 의식은 IMF이후 드러났다. 학생과 교사 간에 신뢰의 붕괴의 연속으로 교실붕괴, 학교붕괴가  일어난 것이다. 그러나 이에 대한 문제는 학생들이 학교에서 무엇을 하느냐에서 시작된 것이 아니었다."
중소기업의 인권경영 실태조사 및 법령제도 개선방안 연구,,"현재 산재보험법 제5조 제1호의 업무상의 재해란 업무상의 사유에 따른 근로자의 재해를 의미하나, 81년 12월 17일 이전에는 업무수행성과 기인성을 명문화했다. 이로 인해 재해보상 신청을 위한 규정해석에 논란이 있었지만, 업무 및 기업 환경과 산재보험법의 목적과 성격에 기초하여 해석할 수밖에 없다."
임금근로자의 일자리 특성이 직무만족에 미치는 영향 : 성별에 따른 차이를 중심으로,"곽현주, 최은영","근로자들의 직무 불만족은 근로자 개인 뿐 아니라 가족, 기업, 사회에 큰 영향을 미치기 때문에, 직무만족에 영향을 주는 근로환경 및 근로조건과 같은 일자리 특성을 상세히 파악하여 조속한 대응방안을 마련해야 할 필요성이 높다."
KDI 북한경제리뷰 2014년 10월,,"북한은 조건없는 6자 회담 재개와 동시에, 관계가 소원해진 중국을 제외한 각국과 맞춤형 대화 공세를 펼쳐 핵문제에서 눈을 돌리게 만들거나, 한･미가 대화를 거부한다는 인상을 주려고 노력하는 듯하다."
평생·직업교육분야 미래 교육비전 및 교육개혁 방향 연구,한국직업능력개발원,교육지원청이나 학교 단위에서 다양한 사업을 개별 추진하는 것보다 교과 교육과 지역 연계 사업으로 나누어 다양한 사업들을 동일 체제 하에서 프로그램으로 구성할 필요가 있다.
"교과 교육과정 개선 방향 세미나 자료집 - 도덕, 실과(기술·가정), 체육, 음악, 미술",,"둘째, 가치 영역 간의 위계 및 내용 중복부분으로 여가활동에 해당된다. 얼핏 적절해 보이지만 타 영역과의 차별성을 위해서는 내용 요소와 수업운영 방식 등을 바꿔야 한다."
"통일 비용·편익 추계를 위한 북한 공식경제부분의 실태연구(통일연구원, 2011)",,"북한의 화학공업은 무기화학계열에서 시작하여 유기화학공업도 생겨났다. 또 석유화학공업을 시작하기는 하였으나 주로 비료, 화학섬유, 건자재 등 의식주와 관련된 제품을 생산하는 석탄화학공업 중심이다."
고성과 인사체계의 보편적 관점 비판 : Kaufman의 문제제기에 대한 실증분석,양문철,"기업의 인적자원이 지속적 경쟁우위의 원천이 될 수 있다는 주장은 자원기반이론에 근거하는데 먼저 창의성으로 대표되는 새로운 경쟁체계하에서 인적자원이 가지는 중요성이 높아졌고 기업 구성원들이 가진 역량을 더욱 효과적이고 많이 발휘할 수 있도록 HR 제도들을 도입, 실행하면 궁극적으로 수익증가 및 재무성과 향상으로 경쟁 기업대비 우위를 차지하게 된다는 것이다."
aT50년 새로운 100년을 약속합니다,임태형,"aT는 농산물 직거래지원센터를 통해 직거래 사업의 확대를 진행했고, 이와 더불어 교육/컨설팅 등을 포함한 서비스와 프로그램을 같이 제공하였다. 또한 기존의 화훼산업을 양지로 끌어내는 등 다양한 분야에서 농업인의 안전한 거래 환경을 구축했다."
제조업의 근로시간 단축과 통상임금 관련 갈등 해소방안,,B사가 개선활동을 함에 있어 쉬운 것 등을 제안하게 하고 제안 건수를 업적에 반영하자 개선 건수가 10년만에 20배  늘어 개선활동의 일상화가 정착되었다.
2020 공무원직장협의회 길라잡이,행정안전부,"영국에서 노동권의 완전한 보장은 경찰공무원에 대해서는 예외적으로 적용되어 단체교섭 및 단체행동권이 허용되지 않는다. 영국 경찰의 임금과 근로조건이 전국적인 협의를 통해 결정되고 있다는 점이 흥미로운데, 이 제도는 ‘데스보로 위원회 보고서’가 경찰 임금을 전국단위 기준으로 결정한 것이 단초가 되었다. 1919년 ‘경찰협의위원회’가 출범하면서 사용자측과 근로자측의 대표들이 참여해 협의를 진행했고 이후 50년간 운영이 지속되었다."
학교생활기록부 기재방식 개선 방안,,"연구는 우리나라 학교생활기록부의 문제점 및 요구 사항 파악을 위해 진행되었고, 면담자로 지역적 특성을 고려한 학교 관계자를 선택하였다. 면담 과정은 직접 인터뷰와 서면 면담으로 진행되었다."
2017 IP Insight: 해외 지식재산권 판례 심층분석 보고서,한국지식재산보호원,"민소법 특별의 사정 존재를 판단해, 미국에서 유통되는 원고제품이 미국특허권의 기술적 범위에 속하는지를 일본 재판소에서 조사하는 것은 피고에게 부담을 주므로 신속한 심리실현을 방해하는 특별의 사정이라 하였다."
온실가스 감축기술의 융합을 통한 산업적 성과 제고방안,박한일,"온실가스 감축을 위해 많은 선진국은 정부 차원의 필수 추진사업으로, 2020년을 전후로 한 제로에너지 주택보급을 선정하였다. 우리나라도 이에 대한 활발한 연구개발과 시범사업을 진행 중이다."
